time,NO2,NO2_model
2022-01-27 01:00:00,38.0,16.9375
2022-01-27 02:00:00,38.0,14.03125
2022-01-27 03:00:00,36.0,13.6875
2022-01-27 04:00:00,34.0,13.34375
2022-01-27 05:00:00,34.0,13.53125
2022-01-27 06:00:00,33.0,15.90625
2022-01-27 07:00:00,32.0,22.25
2022-01-27 08:00:00,31.0,32.125
2022-01-27 09:00:00,31.0,39.0
2022-01-27 10:00:00,33.0,41.125
2022-01-27 11:00:00,36.0,40.375
2022-01-27 12:00:00,37.0,39.75
2022-01-27 13:00:00,40.0,35.25
2022-01-27 14:00:00,45.0,29.4375
2022-01-27 15:00:00,49.0,25.0
2022-01-27 16:00:00,52.0,23.625
2022-01-27 17:00:00,52.0,26.0
2022-01-27 18:00:00,53.0,29.8125
2022-01-27 19:00:00,52.0,33.125
2022-01-27 20:00:00,51.0,34.25
2022-01-27 21:00:00,50.0,34.25
2022-01-27 22:00:00,48.0,34.875
2022-01-27 23:00:00,45.0,34.875
2022-01-28 00:00:00,43.0,33.125
2022-01-28 01:00:00,39.0,31.8125
2022-01-28 02:00:00,35.0,30.8125
2022-01-28 03:00:00,30.0,31.1875
2022-01-28 04:00:00,28.0,31.8125
2022-01-28 05:00:00,27.0,35.25
2022-01-28 06:00:00,29.0,40.0
2022-01-28 07:00:00,33.0,41.75
2022-01-28 08:00:00,41.0,38.375
2022-01-28 09:00:00,45.0,28.75
2022-01-28 10:00:00,53.0,22.5625
2022-01-28 11:00:00,61.0,19.6875
2022-01-28 12:00:00,49.0,17.625
2022-01-28 13:00:00,30.0,12.65625
2022-01-28 14:00:00,33.0,12.65625
2022-01-28 15:00:00,41.0,13.6875
2022-01-28 16:00:00,50.0,17.625
2022-01-28 17:00:00,61.0,26.375
2022-01-28 18:00:00,63.0,36.25
2022-01-28 19:00:00,66.0,43.75
2022-01-28 20:00:00,67.0,47.875
2022-01-28 21:00:00,66.0,51.375
2022-01-28 22:00:00,63.0,53.375
2022-01-28 23:00:00,62.0,52.75
2022-01-29 00:00:00,59.0,53.375
2022-01-29 01:00:00,58.0,56.875
2022-01-29 02:00:00,55.0,58.875
2022-01-29 03:00:00,58.0,56.875
2022-01-29 04:00:00,61.0,53.375
2022-01-29 05:00:00,58.0,48.625
2022-01-29 06:00:00,55.0,42.125
2022-01-29 07:00:00,53.0,38.375
2022-01-29 08:00:00,56.0,33.125
2022-01-29 09:00:00,64.0,23.625
2022-01-29 10:00:00,64.0,18.8125
2022-01-29 11:00:00,56.0,18.3125
2022-01-29 12:00:00,57.0,18.8125
2022-01-29 13:00:00,59.0,13.34375
2022-01-29 14:00:00,59.0,10.28125
2022-01-29 15:00:00,60.0,9.3125
2022-01-29 16:00:00,58.0,13.6875
2022-01-29 17:00:00,64.0,23.25
2022-01-29 18:00:00,65.0,32.875
2022-01-29 19:00:00,67.0,38.375
2022-01-29 20:00:00,70.0,38.625
2022-01-29 21:00:00,67.0,35.875
2022-01-29 22:00:00,62.0,31.8125
2022-01-29 23:00:00,57.0,27.75
2022-01-30 00:00:00,54.0,23.9375
2022-01-30 01:00:00,54.0,19.5
2022-01-30 02:00:00,50.0,18.8125
2022-01-30 03:00:00,46.0,19.875
2022-01-30 04:00:00,46.0,23.625
2022-01-30 05:00:00,46.0,29.4375
2022-01-30 06:00:00,45.0,38.625
2022-01-30 07:00:00,49.0,49.25
2022-01-30 08:00:00,48.0,52.75
2022-01-30 09:00:00,49.0,43.75
2022-01-30 10:00:00,50.0,31.5
2022-01-30 11:00:00,47.0,23.9375
2022-01-30 12:00:00,43.0,16.75
2022-01-30 13:00:00,40.0,12.3125
2022-01-30 14:00:00,38.0,12.3125
2022-01-30 15:00:00,39.0,13.34375
2022-01-30 16:00:00,43.0,20.5625
2022-01-30 17:00:00,60.0,29.8125
2022-01-30 18:00:00,62.0,34.5
2022-01-30 19:00:00,63.0,38.375
2022-01-30 20:00:00,64.0,40.0
2022-01-30 21:00:00,64.0,39.375
2022-01-30 22:00:00,61.0,34.25
2022-01-30 23:00:00,60.0,31.1875
2022-01-31 00:00:00,58.0,32.875
2022-01-31 01:00:00,51.0,36.25
2022-01-31 02:00:00,50.0,46.5
2022-01-31 03:00:00,48.0,58.25
2022-01-31 04:00:00,47.0,65.75
2022-01-31 05:00:00,48.0,65.75
2022-01-31 06:00:00,50.0,63.0
2022-01-31 07:00:00,53.0,61.0
2022-01-31 08:00:00,54.0,58.875
2022-01-31 09:00:00,57.0,54.125
2022-01-31 10:00:00,52.0,42.375
2022-01-31 11:00:00,51.0,30.5
2022-01-31 12:00:00,55.0,24.3125
2022-01-31 13:00:00,52.0,18.5
2022-01-31 14:00:00,50.0,17.125
2022-01-31 15:00:00,47.0,16.9375
2022-01-31 16:00:00,52.0,17.125
2022-01-31 17:00:00,45.0,16.25
2022-01-31 18:00:00,38.0,14.03125
2022-01-31 19:00:00,34.0,16.25
2022-01-31 20:00:00,34.0,18.125
2022-01-31 21:00:00,43.0,19.875
2022-01-31 22:00:00,46.0,19.875
2022-01-31 23:00:00,44.0,14.03125
2022-02-01 00:00:00,44.0,7.953125
2022-02-01 01:00:00,41.0,9.9375
2022-02-01 02:00:00,37.0,7.875
2022-02-01 03:00:00,38.0,6.15625
2022-02-01 04:00:00,39.0,6.5
2022-02-01 05:00:00,42.0,9.15625
2022-02-01 06:00:00,53.0,19.3125
2022-02-01 07:00:00,59.0,33.125
2022-02-01 08:00:00,57.0,34.875
2022-02-01 09:00:00,44.0,26.375
2022-02-01 10:00:00,45.0,18.8125
2022-02-01 11:00:00,42.0,15.90625
2022-02-01 12:00:00,42.0,13.875
2022-02-01 13:00:00,41.0,6.078125
2022-02-01 14:00:00,38.0,5.4375
2022-02-01 15:00:00,39.0,5.46875
2022-02-01 16:00:00,44.0,13.875
2022-02-01 17:00:00,51.0,30.8125
2022-02-01 18:00:00,57.0,42.75
2022-02-01 19:00:00,65.0,46.5
2022-02-01 20:00:00,67.0,45.125
2022-02-01 21:00:00,67.0,40.75
2022-02-01 22:00:00,65.0,38.375
2022-02-01 23:00:00,61.0,38.375
2022-02-02 00:00:00,59.0,37.625
2022-02-02 01:00:00,56.0,22.5625
2022-02-02 02:00:00,49.0,19.0
2022-02-02 03:00:00,43.0,17.4375
2022-02-02 04:00:00,39.0,16.75
2022-02-02 05:00:00,43.0,16.5625
2022-02-02 06:00:00,50.0,19.6875
2022-02-02 07:00:00,54.0,24.625
2022-02-02 08:00:00,57.0,26.375
2022-02-02 09:00:00,57.0,23.625
2022-02-02 10:00:00,48.0,21.0625
2022-02-02 11:00:00,42.0,20.0
2022-02-02 12:00:00,41.0,18.625
2022-02-02 13:00:00,41.0,18.125
2022-02-02 14:00:00,39.0,19.5
2022-02-02 15:00:00,40.0,20.1875
2022-02-02 16:00:00,42.0,28.4375
2022-02-02 17:00:00,52.0,40.0
2022-02-02 18:00:00,64.0,42.125
2022-02-02 19:00:00,68.0,42.75
2022-02-02 20:00:00,69.0,43.75
2022-02-02 21:00:00,67.0,43.75
2022-02-02 22:00:00,65.0,37.25
2022-02-02 23:00:00,58.0,31.1875
2022-02-03 00:00:00,55.0,26.6875
2022-02-03 01:00:00,52.0,23.9375
2022-02-03 02:00:00,44.0,16.9375
2022-02-03 03:00:00,41.0,13.875
2022-02-03 04:00:00,40.0,12.65625
2022-02-03 05:00:00,45.0,12.84375
2022-02-03 06:00:00,53.0,16.9375
2022-02-03 07:00:00,61.0,24.3125
2022-02-03 08:00:00,63.0,27.375
2022-02-03 09:00:00,60.0,28.75
2022-02-03 10:00:00,50.0,45.875
2022-02-03 11:00:00,46.0,56.875
2022-02-03 12:00:00,44.0,47.875
2022-02-03 13:00:00,46.0,32.875
2022-02-03 14:00:00,49.0,23.9375
2022-02-03 15:00:00,48.0,21.875
2022-02-03 16:00:00,47.0,30.125
2022-02-03 17:00:00,51.0,43.75
2022-02-03 18:00:00,60.0,53.375
2022-02-03 19:00:00,62.0,54.125
2022-02-03 20:00:00,65.0,57.5
2022-02-03 21:00:00,66.0,62.375
2022-02-03 22:00:00,68.0,68.5
2022-02-03 23:00:00,69.0,70.5
2022-02-04 00:00:00,64.0,69.75
2022-02-04 01:00:00,62.0,60.25
2022-02-04 02:00:00,57.0,58.875
2022-02-04 03:00:00,55.0,56.875
2022-02-04 04:00:00,55.0,54.75
2022-02-04 05:00:00,55.0,52.0
2022-02-04 06:00:00,52.0,50.625
2022-02-04 07:00:00,52.0,47.875
2022-02-04 08:00:00,49.0,45.125
2022-02-04 09:00:00,48.0,39.375
2022-02-04 10:00:00,49.0,31.8125
2022-02-04 11:00:00,50.0,25.3125
2022-02-04 12:00:00,52.0,23.25
2022-02-04 13:00:00,49.0,19.875
2022-02-04 14:00:00,45.0,19.0
2022-02-04 15:00:00,42.0,21.1875
2022-02-04 16:00:00,42.0,31.1875
2022-02-04 17:00:00,46.0,37.625
2022-02-04 18:00:00,47.0,34.25
2022-02-04 19:00:00,48.0,32.5
2022-02-04 20:00:00,47.0,30.5
2022-02-04 21:00:00,46.0,30.5
2022-02-04 22:00:00,47.0,33.875
2022-02-04 23:00:00,47.0,35.875
2022-02-05 00:00:00,46.0,37.0
2022-02-05 01:00:00,44.0,42.75
2022-02-05 02:00:00,43.0,36.625
2022-02-05 03:00:00,40.0,31.1875
2022-02-05 04:00:00,38.0,27.0625
2022-02-05 05:00:00,37.0,25.6875
2022-02-05 06:00:00,38.0,28.75
2022-02-05 07:00:00,39.0,34.875
2022-02-05 08:00:00,39.0,37.0
2022-02-05 09:00:00,43.0,33.5
2022-02-05 10:00:00,44.0,23.625
2022-02-05 11:00:00,45.0,17.125
2022-02-05 12:00:00,45.0,14.90625
2022-02-05 13:00:00,42.0,11.125
2022-02-05 14:00:00,43.0,10.4375
2022-02-05 15:00:00,45.0,11.96875
2022-02-05 16:00:00,50.0,20.375
2022-02-05 17:00:00,54.0,32.125
2022-02-05 18:00:00,55.0,39.75
2022-02-05 19:00:00,52.0,43.125
2022-02-05 20:00:00,54.0,50.0
2022-02-05 21:00:00,58.0,59.625
2022-02-05 22:00:00,58.0,71.25
2022-02-05 23:00:00,54.0,76.0
2022-02-06 00:00:00,53.0,79.5
2022-02-06 01:00:00,50.0,89.0
2022-02-06 02:00:00,48.0,93.0
2022-02-06 03:00:00,46.0,90.25
2022-02-06 04:00:00,44.0,80.0
2022-02-06 05:00:00,42.0,65.0
2022-02-06 06:00:00,42.0,50.625
2022-02-06 07:00:00,39.0,41.125
2022-02-06 08:00:00,36.0,35.625
2022-02-06 09:00:00,38.0,30.8125
2022-02-06 10:00:00,39.0,27.0625
2022-02-06 11:00:00,36.0,23.625
2022-02-06 12:00:00,33.0,21.75
2022-02-06 13:00:00,35.0,12.5
2022-02-06 14:00:00,38.0,8.21875
2022-02-06 15:00:00,39.0,6.84375
2022-02-06 16:00:00,37.0,15.59375
2022-02-06 17:00:00,39.0,30.8125
2022-02-06 18:00:00,44.0,45.125
2022-02-06 19:00:00,46.0,54.125
2022-02-06 20:00:00,46.0,55.5
2022-02-06 21:00:00,43.0,47.875
2022-02-06 22:00:00,38.0,32.5
2022-02-06 23:00:00,33.0,23.625
2022-02-07 00:00:00,35.0,18.3125
2022-02-07 01:00:00,34.0,15.75
2022-02-07 02:00:00,33.0,14.03125
2022-02-07 03:00:00,31.0,11.8125
2022-02-07 04:00:00,31.0,9.3125
2022-02-07 05:00:00,28.0,7.953125
2022-02-07 06:00:00,27.0,10.0
2022-02-07 07:00:00,30.0,14.71875
2022-02-07 08:00:00,36.0,18.8125
2022-02-07 09:00:00,35.0,16.4375
2022-02-07 10:00:00,33.0,5.046875
2022-02-07 11:00:00,27.0,3.078125
2022-02-07 12:00:00,21.0,2.5859375
2022-02-07 13:00:00,22.0,2.5
2022-02-07 14:00:00,21.0,2.8203125
2022-02-07 15:00:00,20.0,3.3828125
2022-02-07 16:00:00,27.0,6.5
2022-02-07 17:00:00,36.0,12.65625
2022-02-07 18:00:00,38.0,17.125
2022-02-07 19:00:00,48.0,21.75
2022-02-07 20:00:00,54.0,26.6875
2022-02-07 21:00:00,59.0,31.5
2022-02-07 22:00:00,54.0,32.125
2022-02-07 23:00:00,48.0,28.75
2022-02-08 00:00:00,46.0,24.625
2022-02-08 01:00:00,44.0,19.6875
2022-02-08 02:00:00,41.0,17.4375
2022-02-08 03:00:00,38.0,16.4375
2022-02-08 04:00:00,39.0,15.59375
2022-02-08 05:00:00,42.0,16.25
2022-02-08 06:00:00,45.0,22.5625
2022-02-08 07:00:00,50.0,34.5
2022-02-08 08:00:00,55.0,37.625
2022-02-08 09:00:00,55.0,31.5
2022-02-08 10:00:00,53.0,28.75
2022-02-08 11:00:00,,27.0625
2022-02-08 12:00:00,52.0,26.0
2022-02-08 13:00:00,49.0,14.03125
2022-02-08 14:00:00,48.0,10.59375
2022-02-08 15:00:00,47.0,10.28125
2022-02-08 16:00:00,47.0,19.6875
2022-02-08 17:00:00,67.0,37.0
2022-02-08 18:00:00,77.0,47.875
2022-02-08 19:00:00,79.0,50.625
2022-02-08 20:00:00,79.0,50.625
2022-02-08 21:00:00,77.0,54.125
2022-02-08 22:00:00,77.0,54.125
2022-02-08 23:00:00,71.0,48.625
2022-02-09 00:00:00,67.0,42.125
2022-02-09 01:00:00,62.0,41.375
2022-02-09 02:00:00,60.0,39.75
2022-02-09 03:00:00,56.0,41.75
2022-02-09 04:00:00,55.0,49.25
2022-02-09 05:00:00,54.0,57.5
2022-02-09 06:00:00,56.0,61.625
2022-02-09 07:00:00,54.0,63.625
2022-02-09 08:00:00,58.0,57.5
2022-02-09 09:00:00,57.0,45.875
2022-02-09 10:00:00,59.0,33.5
2022-02-09 11:00:00,60.0,23.9375
2022-02-09 12:00:00,55.0,17.125
2022-02-09 13:00:00,47.0,6.078125
2022-02-09 14:00:00,45.0,5.21875
2022-02-09 15:00:00,42.0,6.25
2022-02-09 16:00:00,47.0,16.5625
2022-02-09 17:00:00,52.0,34.5
2022-02-09 18:00:00,60.0,47.875
2022-02-09 19:00:00,52.0,50.625
2022-02-09 20:00:00,52.0,46.5
2022-02-09 21:00:00,48.0,43.5
2022-02-09 22:00:00,49.0,43.75
2022-02-09 23:00:00,57.0,54.125
2022-02-10 00:00:00,56.0,64.25
2022-02-10 01:00:00,57.0,59.625
2022-02-10 02:00:00,54.0,66.25
2022-02-10 03:00:00,50.0,69.75
2022-02-10 04:00:00,44.0,70.5
2022-02-10 05:00:00,46.0,67.75
2022-02-10 06:00:00,50.0,62.375
2022-02-10 07:00:00,51.0,56.875
2022-02-10 08:00:00,53.0,50.625
2022-02-10 09:00:00,53.0,43.125
2022-02-10 10:00:00,46.0,44.5
2022-02-10 11:00:00,50.0,43.75
2022-02-10 12:00:00,53.0,43.125
2022-02-10 13:00:00,53.0,19.0
2022-02-10 14:00:00,54.0,11.46875
2022-02-10 15:00:00,49.0,9.5
2022-02-10 16:00:00,50.0,20.875
2022-02-10 17:00:00,56.0,44.5
2022-02-10 18:00:00,61.0,59.625
2022-02-10 19:00:00,62.0,60.25
